A01-01	19869	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 1000 GBR	ROLAMENTO RETO IMP. GBR GIR KTS HMZ RCC	84821010	1201 RETO GBR	 R$ 6,60 	24/10/2025
A02-13	16661	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO FAG	84821090	2216 KC3 FAG	 R$ 590,85 	29/07/2025
A02-14	18274	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO TK FAG NSK SKF	84823000	2218 KC3 TK	 R$ 520,80 	
A02-15	19117	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO 2303C3	84821090	2303 C3 FAG	 R$ 21,29 	
A02-16	4211	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO FAG NSK SKF 20X52X21	84821090	2304 C3 FAG	 R$ 74,76 	28/10/2024
A02-17	4215	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO 1605 TK FAG NSK SKF	84821090	2305 C3 FAG	 R$ 103,12 	
A02-18	20114	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 2000 1 LINHA	ROLAMENTO 1605 NTN KOYO ZEN	84821010	2305 C3 NTN	 R$ 90,41 	
A13-71	5904	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO	84821090	51105 B	 R$ 55,86 	27/10/2022
A13-72	17127	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO	84821090	51106 FAG	 R$ 45,44 	19/12/2025
A13-73	5905	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO BRACO NIVELADOR LA-	84821090	51106 GBR JF	 R$ 3,75 	16/03/2023
A13-74	21202	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO	84821090	51107 GBR	 R$ 4,51 	26/02/2026
A13-75	5906	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO APOIO	84821090	51108 GBR	 R$ 120,00 	03/03/2026
A13-76	15302	MASSEY	PECAS DIVERSAS MF	ROLAMENTO KFB F 45994 - NJ 211	84821090	1692590	 R$ 171,77 	
A13-ALTO	14334	VENDA CASADA	VENDA CASADA	ROLAMENTO 6020 DDU	84821010	6020 A/S	 R$ 134,51 	17/10/2024
A13-ALTO	12654	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO APOIO	84821090	51106 ISB	 R$ 38,10 	07/05/2025
A13-ALTO	15902	PEÇAS VALMET 	PEÇAS VALMET 	ROLAMENTO NK 25/20	84824000	LA9183 OR	 R$ 40,36 	27/06/2025
A13-ALTO A	14829	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 1000 GBR	ROLAMENTO HK2020	84824000	HK 2020	 R$ 7,83 	11/01/2025
A14-01	16026	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO AXIAL	84821090	51109 GBR	 R$ 9,23 	14/03/2023
A14-02	8316	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO	84821090	51110 GBR	 R$ 11,19 	30/04/2025
A14-03	21628	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO GBR	84821090	51111 GBR	 R$ 13,10 	20/10/2023
A14-04	18892	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO 30080 - 51114 FAG	84821090	51114 FAG	 R$ 93,02 	16/06/2023
A14-05A	5907	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO	84821010	51117 GBR	 R$ 21,03 	15/03/2024
A14-05B	16267	PEÇAS VALMET 	PEÇAS VALMET 	ROLAMENTO 3697317	84824000	LA9221	 R$ 21,00 	
A14-06	13551	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTOS LINHA FRM ERM INA 2 LINHA	ROLAMENTO AXIAL DE ESFERAS - 20X40X14MM	84823000	51204 ROLLWAY	 R$ 40,36 	09/08/2024
A14-06	9264	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO FAG TK NSK SKF	84821090	51204 FAG	 R$ 57,22 	
A14-07	9265	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO GBR	84821090	51204 GBR	 R$ 5,36 	26/10/2022
A14-08	5914	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO APOIO	84825090	51205 FAG	 R$ 60,60 	24/03/2023
A14-09	19084	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO  TRS-ROL.IND.AXIAIS.ESF.	84821010	51205 GBR	 R$ 5,28 	09/11/2023
A14-10	10837	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO	84821010	51206 FAG	 R$ 115,39 	27/02/2026
A14-11A	15295	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO 2 LINHA	ROLAMENTO	84833090	51206 GBR	 R$ 120,00 	03/03/2026
B09-10	3019	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO LINHA 1000 GBR	ROLAMENTO CONICO IMP.GBR GIR KTS HMZ RCC	84821090	1215 K GBR	 R$ 171,27 	24/12/2024
B09-11	24159	ROLAMENTOS COTAÇÃO GERAL	ROLAMENTO FAG TK INA SKF	ROLAMENTO	84821090	1215 KC3 FRM	 R$ 238,18 	03/04/2024
